task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,300,107,0.3566666666666667,None,None
0,offline,0,None,2,1100,1084,0.9854545454545455,None,None
0,offline,0,None,3,100,68,0.68,None,None
0,offline,0,None,4,1150,1097,0.9539130434782609,None,None
0,offline,0,None,5,300,294,0.98,None,None
0,offline,1,None,1,300,197,0.6566666666666666,None,None
0,offline,1,None,2,1100,1090,0.990909090909091,None,None
0,offline,1,None,3,100,67,0.67,None,None
0,offline,1,None,4,1150,1134,0.9860869565217392,None,None
0,offline,1,None,5,300,293,0.9766666666666667,None,None
0,offline,2,None,1,300,165,0.55,None,None
0,offline,2,None,2,1100,1091,0.9918181818181818,None,None
0,offline,2,None,3,100,72,0.72,None,None
0,offline,2,None,4,1150,1134,0.9860869565217392,None,None
0,offline,2,None,5,300,295,0.9833333333333333,None,None
0,offline,3,None,1,300,116,0.38666666666666666,None,None
0,offline,3,None,2,1100,1091,0.9918181818181818,None,None
0,offline,3,None,3,100,73,0.73,None,None
0,offline,3,None,4,1150,1135,0.9869565217391304,None,None
0,offline,3,None,5,300,294,0.98,None,None
0,offline,4,None,1,300,200,0.6666666666666666,None,None
0,offline,4,None,2,1100,1090,0.990909090909091,None,None
0,offline,4,None,3,100,68,0.68,None,None
0,offline,4,None,4,1150,1131,0.9834782608695652,None,None
0,offline,4,None,5,300,294,0.98,None,None
0,offline,5,None,1,300,143,0.4766666666666667,None,None
0,offline,5,None,2,1100,1092,0.9927272727272727,None,None
0,offline,5,None,3,100,84,0.84,None,None
0,offline,5,None,4,1150,1076,0.9356521739130435,None,None
0,offline,5,None,5,300,288,0.96,None,None
0,offline,6,None,1,300,104,0.3466666666666667,None,None
0,offline,6,None,2,1100,1094,0.9945454545454545,None,None
0,offline,6,None,3,100,79,0.79,None,None
0,offline,6,None,4,1150,1102,0.9582608695652174,None,None
0,offline,6,None,5,300,293,0.9766666666666667,None,None
0,offline,7,None,1,300,208,0.6933333333333334,None,None
0,offline,7,None,2,1100,1088,0.9890909090909091,None,None
0,offline,7,None,3,100,74,0.74,None,None
0,offline,7,None,4,1150,1104,0.96,None,None
0,offline,7,None,5,300,291,0.97,None,None
1,offline,0,None,1,550,534,0.9709090909090909,None,None
1,offline,0,None,2,300,201,0.67,None,None
1,offline,0,None,3,350,302,0.8628571428571429,None,None
1,offline,0,None,4,1200,1192,0.9933333333333333,None,None
1,offline,0,None,5,600,595,0.9916666666666667,None,None
1,offline,1,None,1,550,540,0.9818181818181818,None,None
1,offline,1,None,2,300,157,0.5233333333333333,None,None
1,offline,1,None,3,350,288,0.8228571428571428,None,None
1,offline,1,None,4,1200,1193,0.9941666666666666,None,None
1,offline,1,None,5,600,595,0.9916666666666667,None,None
1,offline,2,None,1,550,537,0.9763636363636363,None,None
1,offline,2,None,2,300,139,0.4633333333333333,None,None
1,offline,2,None,3,350,303,0.8657142857142858,None,None
1,offline,2,None,4,1200,1195,0.9958333333333333,None,None
1,offline,2,None,5,600,595,0.9916666666666667,None,None
1,offline,3,None,1,550,534,0.9709090909090909,None,None
1,offline,3,None,2,300,201,0.67,None,None
1,offline,3,None,3,350,281,0.8028571428571428,None,None
1,offline,3,None,4,1200,1193,0.9941666666666666,None,None
1,offline,3,None,5,600,595,0.9916666666666667,None,None
1,offline,4,None,1,550,535,0.9727272727272728,None,None
1,offline,4,None,2,300,203,0.6766666666666666,None,None
1,offline,4,None,3,350,308,0.88,None,None
1,offline,4,None,4,1200,1195,0.9958333333333333,None,None
1,offline,4,None,5,600,594,0.99,None,None
1,offline,5,None,1,550,540,0.9818181818181818,None,None
1,offline,5,None,2,300,104,0.3466666666666667,None,None
1,offline,5,None,3,350,284,0.8114285714285714,None,None
1,offline,5,None,4,1200,1194,0.995,None,None
1,offline,5,None,5,600,590,0.9833333333333333,None,None
1,offline,6,None,1,550,537,0.9763636363636363,None,None
1,offline,6,None,2,300,198,0.66,None,None
1,offline,6,None,3,350,276,0.7885714285714286,None,None
1,offline,6,None,4,1200,1195,0.9958333333333333,None,None
1,offline,6,None,5,600,596,0.9933333333333333,None,None
1,offline,7,None,1,550,538,0.9781818181818182,None,None
1,offline,7,None,2,300,112,0.37333333333333335,None,None
1,offline,7,None,3,350,303,0.8657142857142858,None,None
1,offline,7,None,4,1200,1195,0.9958333333333333,None,None
1,offline,7,None,5,600,587,0.9783333333333334,None,None
2,offline,0,None,1,100,94,0.94,None,None
2,offline,0,None,2,1150,920,0.8,None,None
2,offline,0,None,3,350,318,0.9085714285714286,None,None
2,offline,0,None,4,300,280,0.9333333333333333,None,None
2,offline,0,None,5,1100,1090,0.990909090909091,None,None
2,offline,1,None,1,100,94,0.94,None,None
2,offline,1,None,2,1150,916,0.7965217391304348,None,None
2,offline,1,None,3,350,315,0.9,None,None
2,offline,1,None,4,300,279,0.93,None,None
2,offline,1,None,5,1100,1091,0.9918181818181818,None,None
2,offline,2,None,1,100,27,0.27,None,None
2,offline,2,None,2,1150,1135,0.9869565217391304,None,None
2,offline,2,None,3,350,313,0.8942857142857142,None,None
2,offline,2,None,4,300,283,0.9433333333333334,None,None
2,offline,2,None,5,1100,1088,0.9890909090909091,None,None
2,offline,3,None,1,100,98,0.98,None,None
2,offline,3,None,2,1150,876,0.7617391304347826,None,None
2,offline,3,None,3,350,312,0.8914285714285715,None,None
2,offline,3,None,4,300,282,0.94,None,None
2,offline,3,None,5,1100,1093,0.9936363636363637,None,None
2,offline,4,None,1,100,32,0.32,None,None
2,offline,4,None,2,1150,1120,0.9739130434782609,None,None
2,offline,4,None,3,350,319,0.9114285714285715,None,None
2,offline,4,None,4,300,272,0.9066666666666666,None,None
2,offline,4,None,5,1100,1088,0.9890909090909091,None,None
2,offline,5,None,1,100,95,0.95,None,None
2,offline,5,None,2,1150,916,0.7965217391304348,None,None
2,offline,5,None,3,350,343,0.98,None,None
2,offline,5,None,4,300,128,0.4266666666666667,None,None
2,offline,5,None,5,1100,1091,0.9918181818181818,None,None
2,offline,6,None,1,100,50,0.5,None,None
2,offline,6,None,2,1150,1045,0.908695652173913,None,None
2,offline,6,None,3,350,324,0.9257142857142857,None,None
2,offline,6,None,4,300,259,0.8633333333333333,None,None
2,offline,6,None,5,1100,1086,0.9872727272727273,None,None
2,offline,7,None,1,100,47,0.47,None,None
2,offline,7,None,2,1150,1083,0.9417391304347826,None,None
2,offline,7,None,3,350,330,0.9428571428571428,None,None
2,offline,7,None,4,300,240,0.8,None,None
2,offline,7,None,5,1100,1090,0.990909090909091,None,None
3,offline,0,None,1,100,90,0.9,None,None
3,offline,0,None,2,1450,1406,0.9696551724137931,None,None
3,offline,0,None,3,500,250,0.5,None,None
3,offline,0,None,4,550,546,0.9927272727272727,None,None
3,offline,0,None,5,350,322,0.92,None,None
3,offline,1,None,1,100,83,0.83,None,None
3,offline,1,None,2,1450,1442,0.9944827586206897,None,None
3,offline,1,None,3,500,305,0.61,None,None
3,offline,1,None,4,550,543,0.9872727272727273,None,None
3,offline,1,None,5,350,312,0.8914285714285715,None,None
3,offline,2,None,1,100,48,0.48,None,None
3,offline,2,None,2,1450,1437,0.9910344827586207,None,None
3,offline,2,None,3,500,377,0.754,None,None
3,offline,2,None,4,550,547,0.9945454545454545,None,None
3,offline,2,None,5,350,323,0.9228571428571428,None,None
3,offline,3,None,1,100,98,0.98,None,None
3,offline,3,None,2,1450,1439,0.9924137931034482,None,None
3,offline,3,None,3,500,246,0.492,None,None
3,offline,3,None,4,550,547,0.9945454545454545,None,None
3,offline,3,None,5,350,319,0.9114285714285715,None,None
3,offline,4,None,1,100,63,0.63,None,None
3,offline,4,None,2,1450,1436,0.9903448275862069,None,None
3,offline,4,None,3,500,317,0.634,None,None
3,offline,4,None,4,550,545,0.990909090909091,None,None
3,offline,4,None,5,350,323,0.9228571428571428,None,None
3,offline,5,None,1,100,22,0.22,None,None
3,offline,5,None,2,1450,1443,0.9951724137931034,None,None
3,offline,5,None,3,500,475,0.95,None,None
3,offline,5,None,4,550,546,0.9927272727272727,None,None
3,offline,5,None,5,350,321,0.9171428571428571,None,None
3,offline,6,None,1,100,67,0.67,None,None
3,offline,6,None,2,1450,1441,0.9937931034482759,None,None
3,offline,6,None,3,500,321,0.642,None,None
3,offline,6,None,4,550,548,0.9963636363636363,None,None
3,offline,6,None,5,350,314,0.8971428571428571,None,None
3,offline,7,None,1,100,90,0.9,None,None
3,offline,7,None,2,1450,1443,0.9951724137931034,None,None
3,offline,7,None,3,500,282,0.564,None,None
3,offline,7,None,4,550,543,0.9872727272727273,None,None
3,offline,7,None,5,350,318,0.9085714285714286,None,None
4,offline,0,None,1,300,74,0.24666666666666667,None,None
4,offline,0,None,2,1150,1111,0.9660869565217391,None,None
4,offline,0,None,3,300,293,0.9766666666666667,None,None
4,offline,0,None,4,1100,1089,0.99,None,None
4,offline,0,None,5,100,95,0.95,None,None
4,offline,1,None,1,300,80,0.26666666666666666,None,None
4,offline,1,None,2,1150,1112,0.9669565217391304,None,None
4,offline,1,None,3,300,294,0.98,None,None
4,offline,1,None,4,1100,1088,0.9890909090909091,None,None
4,offline,1,None,5,100,92,0.92,None,None
4,offline,2,None,1,300,100,0.3333333333333333,None,None
4,offline,2,None,2,1150,1137,0.9886956521739131,None,None
4,offline,2,None,3,300,292,0.9733333333333334,None,None
4,offline,2,None,4,1100,1091,0.9918181818181818,None,None
4,offline,2,None,5,100,83,0.83,None,None
4,offline,3,None,1,300,263,0.8766666666666667,None,None
4,offline,3,None,2,1150,1132,0.9843478260869565,None,None
4,offline,3,None,3,300,293,0.9766666666666667,None,None
4,offline,3,None,4,1100,1091,0.9918181818181818,None,None
4,offline,3,None,5,100,13,0.13,None,None
4,offline,4,None,1,300,138,0.46,None,None
4,offline,4,None,2,1150,1102,0.9582608695652174,None,None
4,offline,4,None,3,300,294,0.98,None,None
4,offline,4,None,4,1100,1085,0.9863636363636363,None,None
4,offline,4,None,5,100,60,0.6,None,None
4,offline,5,None,1,300,172,0.5733333333333334,None,None
4,offline,5,None,2,1150,1094,0.951304347826087,None,None
4,offline,5,None,3,300,291,0.97,None,None
4,offline,5,None,4,1100,1092,0.9927272727272727,None,None
4,offline,5,None,5,100,52,0.52,None,None
4,offline,6,None,1,300,265,0.8833333333333333,None,None
4,offline,6,None,2,1150,1136,0.9878260869565217,None,None
4,offline,6,None,3,300,293,0.9766666666666667,None,None
4,offline,6,None,4,1100,1092,0.9927272727272727,None,None
4,offline,6,None,5,100,14,0.14,None,None
4,offline,7,None,1,300,278,0.9266666666666666,None,None
4,offline,7,None,2,1150,1087,0.9452173913043478,None,None
4,offline,7,None,3,300,292,0.9733333333333334,None,None
4,offline,7,None,4,1100,1089,0.99,None,None
4,offline,7,None,5,100,13,0.13,None,None
5,offline,0,None,1,1150,1137,0.9886956521739131,None,None
5,offline,0,None,2,250,24,0.096,None,None
5,offline,0,None,3,300,293,0.9766666666666667,None,None
5,offline,0,None,4,650,639,0.9830769230769231,None,None
5,offline,0,None,5,650,613,0.943076923076923,None,None
5,offline,1,None,1,1150,1059,0.9208695652173913,None,None
5,offline,1,None,2,250,159,0.636,None,None
5,offline,1,None,3,300,292,0.9733333333333334,None,None
5,offline,1,None,4,650,580,0.8923076923076924,None,None
5,offline,1,None,5,650,635,0.9769230769230769,None,None
5,offline,2,None,1,1150,1093,0.9504347826086956,None,None
5,offline,2,None,2,250,39,0.156,None,None
5,offline,2,None,3,300,292,0.9733333333333334,None,None
5,offline,2,None,4,650,640,0.9846153846153847,None,None
5,offline,2,None,5,650,624,0.96,None,None
5,offline,3,None,1,1150,1129,0.9817391304347826,None,None
