task_order, method, cmd, train_session, task_index, no_of_test, no_of_correct_prediction, accuracy, solver_training_time, generator_training_time
0,offline,0,None,1,150,107,0.7133333333333334,None,None
0,offline,0,None,2,150,43,0.2866666666666667,None,None
0,offline,0,None,3,150,145,0.9666666666666667,None,None
0,offline,0,None,4,150,128,0.8533333333333334,None,None
0,offline,0,None,5,150,139,0.9266666666666666,None,None
0,offline,1,None,1,150,85,0.5666666666666667,None,None
0,offline,1,None,2,150,50,0.3333333333333333,None,None
0,offline,1,None,3,150,148,0.9866666666666667,None,None
0,offline,1,None,4,150,110,0.7333333333333333,None,None
0,offline,1,None,5,150,146,0.9733333333333334,None,None
0,offline,2,None,1,150,77,0.5133333333333333,None,None
0,offline,2,None,2,150,65,0.43333333333333335,None,None
0,offline,2,None,3,150,145,0.9666666666666667,None,None
0,offline,2,None,4,150,102,0.68,None,None
0,offline,2,None,5,150,148,0.9866666666666667,None,None
0,offline,3,None,1,150,51,0.34,None,None
0,offline,3,None,2,150,77,0.5133333333333333,None,None
0,offline,3,None,3,150,149,0.9933333333333333,None,None
0,offline,3,None,4,150,82,0.5466666666666666,None,None
0,offline,3,None,5,150,122,0.8133333333333334,None,None
0,offline,4,None,1,150,103,0.6866666666666666,None,None
0,offline,4,None,2,150,7,0.04666666666666667,None,None
0,offline,4,None,3,150,147,0.98,None,None
0,offline,4,None,4,150,145,0.9666666666666667,None,None
0,offline,4,None,5,150,147,0.98,None,None
0,offline,5,None,1,150,99,0.66,None,None
0,offline,5,None,2,150,67,0.44666666666666666,None,None
0,offline,5,None,3,150,142,0.9466666666666667,None,None
0,offline,5,None,4,150,69,0.46,None,None
0,offline,5,None,5,150,146,0.9733333333333334,None,None
0,offline,6,None,1,150,119,0.7933333333333333,None,None
0,offline,6,None,2,150,2,0.013333333333333334,None,None
0,offline,6,None,3,150,146,0.9733333333333334,None,None
0,offline,6,None,4,150,141,0.94,None,None
0,offline,6,None,5,150,149,0.9933333333333333,None,None
0,offline,7,None,1,150,69,0.46,None,None
0,offline,7,None,2,150,74,0.49333333333333335,None,None
0,offline,7,None,3,150,142,0.9466666666666667,None,None
0,offline,7,None,4,150,64,0.4266666666666667,None,None
0,offline,7,None,5,150,149,0.9933333333333333,None,None
1,offline,0,None,1,150,78,0.52,None,None
1,offline,0,None,2,150,115,0.7666666666666667,None,None
1,offline,0,None,3,150,118,0.7866666666666666,None,None
1,offline,0,None,4,150,77,0.5133333333333333,None,None
1,offline,0,None,5,150,141,0.94,None,None
1,offline,1,None,1,150,91,0.6066666666666667,None,None
1,offline,1,None,2,150,143,0.9533333333333334,None,None
1,offline,1,None,3,150,68,0.4533333333333333,None,None
1,offline,1,None,4,150,73,0.4866666666666667,None,None
1,offline,1,None,5,150,105,0.7,None,None
1,offline,2,None,1,150,78,0.52,None,None
1,offline,2,None,2,150,149,0.9933333333333333,None,None
1,offline,2,None,3,150,65,0.43333333333333335,None,None
1,offline,2,None,4,150,132,0.88,None,None
1,offline,2,None,5,150,119,0.7933333333333333,None,None
1,offline,3,None,1,150,83,0.5533333333333333,None,None
1,offline,3,None,2,150,144,0.96,None,None
1,offline,3,None,3,150,66,0.44,None,None
1,offline,3,None,4,150,126,0.84,None,None
1,offline,3,None,5,150,144,0.96,None,None
1,offline,4,None,1,150,80,0.5333333333333333,None,None
1,offline,4,None,2,150,150,1.0,None,None
1,offline,4,None,3,150,101,0.6733333333333333,None,None
1,offline,4,None,4,150,66,0.44,None,None
1,offline,4,None,5,150,142,0.9466666666666667,None,None
1,offline,5,None,1,150,91,0.6066666666666667,None,None
1,offline,5,None,2,150,139,0.9266666666666666,None,None
1,offline,5,None,3,150,139,0.9266666666666666,None,None
1,offline,5,None,4,150,82,0.5466666666666666,None,None
1,offline,5,None,5,150,109,0.7266666666666667,None,None
1,offline,6,None,1,150,81,0.54,None,None
1,offline,6,None,2,150,149,0.9933333333333333,None,None
1,offline,6,None,3,150,71,0.47333333333333333,None,None
1,offline,6,None,4,150,128,0.8533333333333334,None,None
1,offline,6,None,5,150,121,0.8066666666666666,None,None
1,offline,7,None,1,150,85,0.5666666666666667,None,None
1,offline,7,None,2,150,148,0.9866666666666667,None,None
1,offline,7,None,3,150,66,0.44,None,None
1,offline,7,None,4,150,140,0.9333333333333333,None,None
1,offline,7,None,5,150,96,0.64,None,None
2,offline,0,None,1,200,87,0.435,None,None
2,offline,0,None,2,200,196,0.98,None,None
2,offline,0,None,3,150,49,0.32666666666666666,None,None
2,offline,0,None,4,150,125,0.8333333333333334,None,None
2,offline,0,None,5,150,140,0.9333333333333333,None,None
2,offline,1,None,1,200,43,0.215,None,None
2,offline,1,None,2,200,200,1.0,None,None
2,offline,1,None,3,150,86,0.5733333333333334,None,None
2,offline,1,None,4,150,142,0.9466666666666667,None,None
2,offline,1,None,5,150,146,0.9733333333333334,None,None
2,offline,2,None,1,200,34,0.17,None,None
2,offline,2,None,2,200,200,1.0,None,None
2,offline,2,None,3,150,75,0.5,None,None
2,offline,2,None,4,150,138,0.92,None,None
2,offline,2,None,5,150,140,0.9333333333333333,None,None
2,offline,3,None,1,200,138,0.69,None,None
2,offline,3,None,2,200,194,0.97,None,None
2,offline,3,None,3,150,75,0.5,None,None
2,offline,3,None,4,150,85,0.5666666666666667,None,None
2,offline,3,None,5,150,149,0.9933333333333333,None,None
2,offline,4,None,1,200,120,0.6,None,None
2,offline,4,None,2,200,190,0.95,None,None
2,offline,4,None,3,150,52,0.3466666666666667,None,None
2,offline,4,None,4,150,78,0.52,None,None
2,offline,4,None,5,150,139,0.9266666666666666,None,None
2,offline,5,None,1,200,65,0.325,None,None
2,offline,5,None,2,200,200,1.0,None,None
2,offline,5,None,3,150,123,0.82,None,None
2,offline,5,None,4,150,73,0.4866666666666667,None,None
2,offline,5,None,5,150,145,0.9666666666666667,None,None
2,offline,6,None,1,200,89,0.445,None,None
2,offline,6,None,2,200,200,1.0,None,None
2,offline,6,None,3,150,128,0.8533333333333334,None,None
2,offline,6,None,4,150,73,0.4866666666666667,None,None
2,offline,6,None,5,150,147,0.98,None,None
2,offline,7,None,1,200,29,0.145,None,None
2,offline,7,None,2,200,199,0.995,None,None
2,offline,7,None,3,150,130,0.8666666666666667,None,None
2,offline,7,None,4,150,86,0.5733333333333334,None,None
2,offline,7,None,5,150,148,0.9866666666666667,None,None
3,offline,0,None,1,150,70,0.4666666666666667,None,None
3,offline,0,None,2,150,83,0.5533333333333333,None,None
3,offline,0,None,3,150,146,0.9733333333333334,None,None
3,offline,0,None,4,150,138,0.92,None,None
3,offline,0,None,5,150,112,0.7466666666666667,None,None
3,offline,1,None,1,150,74,0.49333333333333335,None,None
