class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,sg-cgan,1000,1000,0.924,0.804,6.052151532332421,0.18784451766871516,0.2137988952572492,886.0,0.0,114.0,1000.0
R1_work_at_computer,sg-cgan,1000,1000,0.961,1.0,1.0000000571012881,1.4591009606274184e-08,0.409470338858068,988.0,0.0,12.0,1000.0
R2_work_at_computer,sg-cgan,1000,1000,0.995,1.0,1.0000000039085208,5.868484423901027e-10,0.3055382612902084,977.0,0.0,23.0,1000.0
R1_sleep,sg-cgan,1000,1000,0.994,1.0,1.000249905349222,4.882276055549024e-05,0.5793761041624541,996.0,1.0,4.0,999.0
R2_sleep,sg-cgan,1000,1000,0.971,1.0,1.0000548826918307,1.3238522892776356e-05,0.5095447046959464,989.0,0.0,11.0,1000.0
R1_bed_to_toilet,sg-cgan,163,1000,0.8650306748466258,1.0,1.000031779798397,4.78758961585998e-06,0.39743229343383096,148.0,0.0,15.0,1000.0
R2_bed_to_toilet,sg-cgan,107,1000,0.9158878504672897,1.0,1.0018348111786628,0.0003003921283824559,0.6270306975958506,95.0,0.0,12.0,1000.0
R2_prepare_dinner,sg-cgan,1000,1000,0.499,0.0,1.0006451138449348,7.737111940414201e-05,0.3020742787725149,969.0,0.0,31.0,1000.0
R2_watch_TV,sg-cgan,1000,1000,0.926,1.0,1.0001008796612816,2.0026272287607793e-05,0.42277755265822387,977.0,0.0,23.0,1000.0
R2_prepare_lunch,sg-cgan,563,1000,0.5577264653641207,0.019,1.0420631424782647,0.0043964619557445355,0.3390453211216387,540.0,0.0,23.0,1000.0
R1_work_at_dining_room_table,sg-cgan,521,1000,0.7293666026871402,1.0,1.000013095279999,1.6280286510284692e-06,0.3691491827401719,457.0,0.0,64.0,1000.0
