class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,sg-cgan,1000,1000,0.924,0.806,5.737502990414494,0.2198369539772888,0.2389496979709336,901.0,0.0,99.0,1000.0
R1_work_at_computer,sg-cgan,1000,1000,0.961,1.0,1.0000000212617695,4.855129562151203e-09,0.6735191632031744,990.0,0.0,10.0,1000.0
R2_work_at_computer,sg-cgan,1000,1000,0.995,1.0,1.0000000005561531,6.61413596932782e-11,0.24113456968912134,973.0,0.0,27.0,1000.0
R1_sleep,sg-cgan,1000,1000,0.994,1.0,1.0000059213517822,6.904402490759841e-07,0.5703949542077889,995.0,0.0,5.0,1000.0
R2_sleep,sg-cgan,1000,1000,0.971,1.0,1.000000008252269,5.700542331472374e-10,0.40424600916999864,992.0,0.0,8.0,1000.0
R1_bed_to_toilet,sg-cgan,163,1000,0.8650306748466258,1.0,1.000053216308972,6.642567236824285e-06,0.7371785643368731,157.0,0.0,6.0,1000.0
R2_bed_to_toilet,sg-cgan,107,1000,0.9158878504672897,0.0,1.0000289055153124,5.020401242567495e-06,0.8374341241350137,101.0,0.0,6.0,1000.0
R2_prepare_dinner,sg-cgan,1000,1000,0.499,0.0,1.0000007702940648,1.1159617246719402e-07,0.6346936933402164,825.0,0.0,175.0,1000.0
R2_watch_TV,sg-cgan,1000,1000,0.926,1.0,1.0000059085259392,5.536344911268855e-07,0.6119646652343266,937.0,0.0,63.0,1000.0
R2_prepare_lunch,sg-cgan,563,1000,0.5577264653641207,1.0,1.0071408819245333,0.0011049318438742304,0.5764646659074031,444.0,0.0,119.0,1000.0
R1_work_at_dining_room_table,sg-cgan,521,1000,0.7293666026871402,1.0,1.0000884308329945,1.6418154554628364e-05,0.3598116005546191,459.0,0.0,62.0,1000.0
