class, method, n_real, n_fake, offline_acc_real, offline_acc_fake, is, is_err, mmd, knn_tp, knn_fp, knn_fn, knn_tn
all,sg-cgan,1000,1000,0.924,1.0,7.939796017775938,0.11348077995345633,0.22040585102546567,897.0,0.0,103.0,1000.0
R1_work_at_computer,sg-cgan,1000,1000,0.961,1.0,1.000000000515296,5.1907879823303994e-11,0.1443422473565804,972.0,0.0,28.0,1000.0
R2_work_at_computer,sg-cgan,1000,1000,0.995,1.0,1.000000000650069,1.428849993985312e-10,0.3793041853195342,981.0,0.0,19.0,1000.0
R1_sleep,sg-cgan,1000,1000,0.994,1.0,1.000019001646165,2.2900651540453643e-05,0.48257987334725333,996.0,0.0,4.0,1000.0
R2_sleep,sg-cgan,1000,1000,0.971,1.0,1.0000042609637978,6.1665242308261e-07,0.5929588266781245,993.0,0.0,7.0,1000.0
R1_bed_to_toilet,sg-cgan,163,1000,0.8650306748466258,1.0,1.0000182802052167,3.0391639914604602e-06,0.7343858758648615,148.0,0.0,15.0,1000.0
R2_bed_to_toilet,sg-cgan,107,1000,0.9158878504672897,1.0,1.0000572664895797,9.856111815233367e-06,1.0337639424169125,101.0,0.0,6.0,1000.0
R2_prepare_dinner,sg-cgan,1000,1000,0.499,1.0,1.0005223497495563,0.00010571968129208803,0.4099432982802263,992.0,0.0,8.0,1000.0
R2_watch_TV,sg-cgan,1000,1000,0.926,1.0,1.000028978827855,4.902845252324057e-06,0.5586147704537573,946.0,0.0,54.0,1000.0
R2_prepare_lunch,sg-cgan,563,1000,0.5577264653641207,1.0,1.0000733408986906,2.124675300563865e-05,0.5347691827715608,458.0,0.0,105.0,1000.0
R1_work_at_dining_room_table,sg-cgan,521,1000,0.7293666026871402,1.0,1.0000335335958646,5.03093920077388e-06,0.3420398829221519,452.0,2.0,69.0,998.0
